feature,importance
price_meter,0.9798251805343692
surface,0.0052289409514975635
baths,0.0046654600542746
surface_baths_interaction,0.0033853541267606256
rooms,0.002806127595062309
surface_rooms_interaction,0.002016446157080233
surface_per_room,0.0005650484194936122
city_Mohammedia,0.0003371480148187053
bath_room_ratio,0.0002958395281841368
city_Casablanca,0.0001306109289896909
neighborhood_Diour Jamaa,0.00012512264022252072
neighborhood_Aïn Borja,9.500671982710801e-05
city_Salé,9.255655856140237e-05
neighborhood_Sidi Bernoussi,5.6145750762738895e-05
neighborhood_Maarif,5.429233598822568e-05
neighborhood_Toute la ville,4.781747621454479e-05
neighborhood_Malabata,4.3462694595689354e-05
city_Tanger,2.9816881484664003e-05
city_Meknès,2.8516988072475075e-05
neighborhood_Socoma,2.533234997865368e-05
city_El Jadida,2.385022689476883e-05
neighborhood_Hamria,2.3003412367711724e-05
neighborhood_Autre secteur,1.3614246096594213e-05
city_Marrakech,1.2280909374763011e-05
city_Martil,1.0325046917339368e-05
neighborhood_Californie,9.673874407259561e-06
city_Rabat,7.601466739907265e-06
city_Dar Bouazza,7.199992619363762e-06
neighborhood_Salmia,6.81934877399168e-06
neighborhood_Hay Mohammadi,4.4980798312648185e-06
neighborhood_Casabarata,3.7982997688533795e-06
neighborhood_Belvédère,3.7538601669337063e-06
neighborhood_Tabriquet,2.8825638227383895e-06
city_Khouribga,2.663633360146045e-06
neighborhood_Centre,2.5175948765744716e-06
neighborhood_Hay Salam,1.9294633420679343e-06
neighborhood_Errahma,1.445297203653986e-06
neighborhood_Oulfa,9.7438456862345e-07
neighborhood_Sidi Moumen,9.173774355753858e-07
neighborhood_Tilila,7.334191985493403e-07
neighborhood_Bourgogne,5.785872167340788e-07
neighborhood_El Houda,5.729487308040582e-07
city_Tétouan,4.658682061875323e-07
neighborhood_Hay Chmaou,3.4811445041003563e-07
neighborhood_Aïn Chock,3.0111838537114247e-07
neighborhood_Route de Tahanaoute,2.929498954462356e-07
neighborhood_Souissi,2.0973812558695902e-07
city_Chellalate,1.821410847994708e-07
neighborhood_alliance,1.8197517805160474e-07
city_Kénitra,1.7679979126547244e-07
city_Ain Aouda,1.362282934844798e-07
neighborhood_Hay Riad,1.1884770701751519e-07
neighborhood_Iberie,1.185317915638434e-07
city_Bouznika,1.164136389654117e-07
neighborhood_Riyad,1.158578425302783e-07
neighborhood_Ville verte,1.148329917038764e-07
neighborhood_Al Azhar,1.0526648919188291e-07
city_Bouskoura,9.47817583484945e-08
neighborhood_Wilaya,8.596900797150901e-08
neighborhood_Aouama Gharbia,8.065436651157744e-08
city_Had Soualem,5.7264235941331155e-08
neighborhood_Massira 2,5.6609286837319775e-08
neighborhood_Narjis,5.391958562498517e-08
city_Fès,5.2971087726527895e-08
neighborhood_Boukhalef,4.40250328158658e-08
neighborhood_Racine,4.3535526661941466e-08
neighborhood_Gauthier,4.148801908937303e-08
neighborhood_Guéliz,3.807356252131354e-08
neighborhood_Ville Nouvelle,3.280561301419567e-08
neighborhood_Hay Hassani,3.135645249070142e-08
neighborhood_Ain Sebaa,2.9145100255370265e-08
neighborhood_Harti,2.255614415483652e-08
city_Temara,2.2112092395335657e-08
neighborhood_Agdal,1.9162512502872526e-08
neighborhood_Marina,1.6779213410493087e-08
neighborhood_Champ de course,1.534483377745854e-08
neighborhood_Victoria,1.5163614423729997e-08
neighborhood_Casablanca Finance City,1.5058218528489404e-08
neighborhood_Maamora,1.4524533175049072e-08
neighborhood_Jnan El ward,1.4295113145230846e-08
neighborhood_Centre ville,1.2543584173406345e-08
city_Mdiq,1.1806032043013443e-08
neighborhood_Hassan,1.1207042085626909e-08
neighborhood_Tamraght,1.0469933868437181e-08
city_Tamesna,1.0426239856506187e-08
city_Oualidia,8.546235431354407e-09
city_Cabo Negro,7.986617761684416e-09
city_Taghazout,7.827744523502671e-09
neighborhood_Val Fleuri,6.930499572002912e-09
neighborhood_Bab Al Bahr,6.5597721036034666e-09
neighborhood_Centre Ville,6.264351499282988e-09
city_Deroua,6.118773002817108e-09
neighborhood_Mozart,5.6185319452245435e-09
neighborhood_Sidi Maarouf,5.4324785593459926e-09
neighborhood_Hivernage,5.314401060861762e-09
neighborhood_Anfa,5.06502809755897e-09
neighborhood_Palmier,4.956187971219067e-09
neighborhood_Av Mohammed VI,4.6801152975385735e-09
neighborhood_Yacoub El Mansour,4.238918525041391e-09
city_Sidi Bouknadel,4.13228775775827e-09
neighborhood_Tanger City Center,3.920662809137072e-09
neighborhood_Quartier des Hôpitaux,3.446726889650397e-09
neighborhood_Route de Casablanca,3.3666861842474906e-09
neighborhood_Sania,3.329050929477401e-09
neighborhood_Route de Ceuta,3.2842013515297695e-09
neighborhood_Harhoura,3.051058304316412e-09
neighborhood_Les Princesses,2.931989458359518e-09
neighborhood_Riviera,2.8305251071964455e-09
neighborhood_Triangle d'Or,2.7583973924258925e-09
neighborhood_Mers Sultan,2.5706996794132415e-09
neighborhood_Mimosas,2.5660701649774103e-09
neighborhood_nouinouich,2.475317498097641e-09
neighborhood_Safir,2.4655028572615013e-09
neighborhood_Av Abdelkrim El Khattabi,2.4129222625812896e-09
neighborhood_Maârif Extension,2.3798096566651407e-09
city_Saidia,2.2296545707833954e-09
neighborhood_Derb Ghallef,2.122170814824204e-09
neighborhood_Ben Serguaou,2.0703962573438702e-09
city_Asilah,1.9561994383710034e-09
neighborhood_Beauséjour,1.9417600167688148e-09
neighborhood_Sala El Jadida,1.9273590845181733e-09
neighborhood_Oasis,1.744447554480771e-09
city_Oujda,1.666528432745046e-09
neighborhood_Ferme Bretone,1.6062917032501642e-09
neighborhood_Achakar,1.5800018119461299e-09
neighborhood_Wifak,1.5029631740280234e-09
city_Benslimane,1.447189814464075e-09
city_Nador,1.4219311029258898e-09
neighborhood_Touilaa,1.0636270091580163e-09
neighborhood_Route d'Immouzere,1.034240223625584e-09
neighborhood_Moulay Youssef,1.0263967065063178e-09
neighborhood_Derb Omar,1.0187267231678554e-09
city_Sidi Rahal,9.677131002865855e-10
neighborhood_Semlalia,9.343209838395596e-10
neighborhood_Almaz,9.190941499510937e-10
neighborhood_Hay Izdihar,9.100809727533641e-10
neighborhood_La Gironde,9.085407503360924e-10
neighborhood_Tanja Balia,8.912654785567085e-10
neighborhood_Palmeraie,8.687323214954609e-10
neighborhood_Marjane,8.103090586045137e-10
neighborhood_Bab Ghmat,8.081465367158722e-10
neighborhood_Hay Massira,8.020556365380205e-10
neighborhood_De La Plage,7.97778187328488e-10
neighborhood_Route d'Amezmiz,7.70692563167856e-10
